datetime,location_id,pickup_demand,dropoff_demand
2023-05-01 07:30:00,161,20.0,76.0
2023-05-01 07:30:00,162,31.0,35.0
2023-05-01 07:30:00,170,29.0,30.0
2023-05-01 07:30:00,186,53.0,11.0
2023-05-01 07:30:00,230,15.0,43.0
2023-05-01 07:30:00,236,66.0,34.0
2023-05-01 07:30:00,237,56.0,45.0
2023-05-01 07:45:00,132,51.0,22.0
2023-05-01 07:45:00,138,21.0,31.0
2023-05-01 07:45:00,142,43.0,25.0
2023-05-01 07:45:00,161,23.0,77.0
2023-05-01 07:45:00,162,43.0,50.0
2023-05-01 07:45:00,170,30.0,35.0
2023-05-01 07:45:00,186,53.0,18.0
2023-05-01 07:45:00,230,29.0,48.0
2023-05-01 07:45:00,236,93.0,69.0
2023-05-01 07:45:00,237,66.0,48.0
2023-05-01 08:00:00,132,54.0,23.0
2023-05-01 08:00:00,138,36.0,20.0
2023-05-01 08:00:00,142,38.0,29.0
2023-05-01 08:00:00,161,29.0,99.0
2023-05-01 08:00:00,162,53.0,58.0
2023-05-01 08:00:00,170,25.0,21.0
2023-05-01 08:00:00,186,45.0,7.0
2023-05-01 08:00:00,230,23.0,38.0
2023-05-01 08:00:00,236,93.0,76.0
2023-05-01 08:00:00,237,76.0,51.0
2023-05-01 08:15:00,132,21.0,14.0
2023-05-01 08:15:00,138,37.0,33.0
2023-05-01 08:15:00,142,37.0,19.0
2023-05-01 08:15:00,161,28.0,78.0
2023-05-01 08:15:00,162,47.0,67.0
2023-05-01 08:15:00,170,33.0,42.0
2023-05-01 08:15:00,186,56.0,16.0
2023-05-01 08:15:00,230,23.0,28.0
2023-05-01 08:15:00,236,102.0,66.0
2023-05-01 08:15:00,237,56.0,45.0
2023-05-01 08:30:00,132,37.0,9.0
2023-05-01 08:30:00,138,65.0,43.0
2023-05-01 08:30:00,142,39.0,22.0
2023-05-01 08:30:00,161,47.0,107.0
2023-05-01 08:30:00,162,42.0,76.0
2023-05-01 08:30:00,170,41.0,42.0
2023-05-01 08:30:00,186,55.0,18.0
2023-05-01 08:30:00,230,20.0,43.0
2023-05-01 08:30:00,236,66.0,47.0
2023-05-01 08:30:00,237,61.0,40.0
2023-05-01 08:45:00,132,34.0,12.0
2023-05-01 08:45:00,138,42.0,32.0
2023-05-01 08:45:00,142,37.0,27.0
2023-05-01 08:45:00,161,38.0,91.0
2023-05-01 08:45:00,162,57.0,82.0
2023-05-01 08:45:00,170,53.0,52.0
2023-05-01 08:45:00,186,67.0,21.0
2023-05-01 08:45:00,230,27.0,44.0
2023-05-01 08:45:00,236,86.0,68.0
2023-05-01 08:45:00,237,72.0,55.0
2023-05-01 09:00:00,132,58.0,21.0
2023-05-01 09:00:00,138,87.0,33.0
2023-05-01 09:00:00,142,34.0,30.0
2023-05-01 09:00:00,161,42.0,90.0
2023-05-01 09:00:00,162,37.0,67.0
2023-05-01 09:00:00,170,38.0,54.0
2023-05-01 09:00:00,186,69.0,21.0
2023-05-01 09:00:00,230,27.0,34.0
2023-05-01 09:00:00,236,69.0,64.0
2023-05-01 09:00:00,237,82.0,55.0
2023-05-01 09:15:00,132,70.0,16.0
2023-05-01 09:15:00,138,56.0,26.0
2023-05-01 09:15:00,142,40.0,31.0
2023-05-01 09:15:00,161,44.0,92.0
2023-05-01 09:15:00,162,37.0,55.0
2023-05-01 09:15:00,170,47.0,34.0
2023-05-01 09:15:00,186,52.0,12.0
2023-05-01 09:15:00,230,29.0,27.0
2023-05-01 09:15:00,236,83.0,44.0
2023-05-01 09:15:00,237,62.0,60.0
2023-05-01 09:30:00,132,52.0,16.0
2023-05-01 09:30:00,138,65.0,30.0
2023-05-01 09:30:00,142,35.0,26.0
2023-05-01 09:30:00,161,52.0,94.0
2023-05-01 09:30:00,162,44.0,43.0
2023-05-01 09:30:00,170,31.0,42.0
2023-05-01 09:30:00,186,59.0,19.0
2023-05-01 09:30:00,230,28.0,32.0
2023-05-01 09:30:00,236,83.0,41.0
2023-05-01 09:30:00,237,65.0,57.0
2023-05-01 09:45:00,132,48.0,19.0
2023-05-01 09:45:00,138,57.0,23.0
2023-05-01 09:45:00,142,32.0,37.0
2023-05-01 09:45:00,161,49.0,75.0
2023-05-01 09:45:00,162,45.0,67.0
2023-05-01 09:45:00,170,49.0,58.0
2023-05-01 09:45:00,186,78.0,23.0
2023-05-01 09:45:00,230,27.0,39.0
2023-05-01 09:45:00,236,68.0,50.0
2023-05-01 09:45:00,237,88.0,73.0
2023-05-01 10:00:00,132,55.0,14.0
2023-05-01 10:00:00,138,59.0,27.0
2023-05-01 10:00:00,142,41.0,30.0
2023-05-01 10:00:00,161,49.0,84.0
2023-05-01 10:00:00,162,49.0,47.0
2023-05-01 10:00:00,170,28.0,47.0
2023-05-01 10:00:00,186,49.0,18.0
2023-05-01 10:00:00,230,25.0,37.0
2023-05-01 10:00:00,236,64.0,68.0
2023-05-01 10:00:00,237,64.0,65.0
2023-05-01 10:15:00,132,62.0,15.0
2023-05-01 10:15:00,138,99.0,17.0
2023-05-01 10:15:00,142,28.0,39.0
2023-05-01 10:15:00,161,56.0,91.0
2023-05-01 10:15:00,162,36.0,46.0
2023-05-01 10:15:00,170,30.0,37.0
2023-05-01 10:15:00,186,35.0,25.0
2023-05-01 10:15:00,230,33.0,29.0
2023-05-01 10:15:00,236,79.0,58.0
2023-05-01 10:15:00,237,70.0,62.0
2023-05-01 10:30:00,132,70.0,16.0
2023-05-01 10:30:00,138,69.0,26.0
2023-05-01 10:30:00,142,35.0,24.0
2023-05-01 10:30:00,161,49.0,68.0
2023-05-01 10:30:00,162,46.0,50.0
2023-05-01 10:30:00,170,43.0,44.0
2023-05-01 10:30:00,186,28.0,19.0
2023-05-01 10:30:00,230,30.0,21.0
2023-05-01 10:30:00,236,87.0,66.0
2023-05-01 10:30:00,237,66.0,63.0
2023-05-01 10:45:00,132,84.0,18.0
2023-05-01 10:45:00,138,56.0,23.0
2023-05-01 10:45:00,142,30.0,33.0
2023-05-01 10:45:00,161,45.0,75.0
2023-05-01 10:45:00,162,46.0,48.0
2023-05-01 10:45:00,170,47.0,61.0
2023-05-01 10:45:00,186,80.0,36.0
2023-05-01 10:45:00,230,28.0,40.0
2023-05-01 10:45:00,236,77.0,85.0
